image_path,label,split
TAMPAR/validation/gravel/id_00_20230523_162359_uvmap_pred.png,id_00,gallery
TAMPAR/validation/base/id_00_20230516_141314_uvmap_pred.png,id_00,gallery
TAMPAR/validation/base/id_00_20230512_102328.jpg,id_00,gallery
TAMPAR/validation/table/id_00_20230523_160514_uvmap_gt.png,id_00,gallery
TAMPAR/validation/base/id_00_20230512_102302.jpg,id_00,gallery
TAMPAR/validation/base/id_00_20230512_102318_uvmap_pred.png,id_00,gallery
TAMPAR/validation/table/id_00_20230523_160533.jpg,id_00,gallery
TAMPAR/validation/base/id_00_20230512_102251_uvmap_pred.png,id_00,gallery
TAMPAR/validation/carpet/id_00_20230523_155111_uvmap_pred.png,id_00,gallery
TAMPAR/validation/base/id_00_20230512_102302_uvmap_pred.png,id_00,gallery
TAMPAR/validation/base/id_00_20230516_141419_uvmap_pred.png,id_00,gallery
TAMPAR/validation/table/id_00_20230523_160533_uvmap_pred.png,id_00,gallery
TAMPAR/validation/base/id_00_20230512_102318.jpg,id_00,gallery
TAMPAR/validation/gravel/id_00_20230523_162414_uvmap_gt.png,id_00,gallery
TAMPAR/validation/base/id_00_20230512_102428.jpg,id_00,gallery
TAMPAR/validation/gravel/id_00_20230523_162359_uvmap_gt.png,id_00,gallery
TAMPAR/validation/base/id_00_20230516_141309_uvmap_pred.png,id_00,gallery
TAMPAR/validation/gravel/id_00_20230523_162359.jpg,id_00,gallery
TAMPAR/validation/base/id_00_20230512_102251_uvmap_gt.png,id_00,gallery
TAMPAR/validation/gravel/id_00_20230523_162403_uvmap_gt.png,id_00,gallery
TAMPAR/validation/gravel/id_00_20230523_162414.jpg,id_00,gallery
TAMPAR/validation/base/id_00_20230516_141341_uvmap_pred.png,id_00,gallery
TAMPAR/validation/table/id_00_20230523_160547_uvmap_gt.png,id_00,gallery
TAMPAR/validation/carpet/id_00_20230523_155059_uvmap_pred.png,id_00,gallery
TAMPAR/validation/base/id_00_20230512_102251.jpg,id_00,gallery
TAMPAR/unlabeled/validation/table/id_00_20230523_160538.jpg,id_00,gallery
TAMPAR/validation/base/id_00_20230516_141419.jpg,id_00,gallery
TAMPAR/validation/gravel/id_00_20230523_162419.jpg,id_00,gallery
TAMPAR/validation/base/id_00_20230516_141419_uvmap_gt.png,id_00,gallery
TAMPAR/validation/carpet/id_00_20230523_155122_uvmap_pred.png,id_00,gallery
TAMPAR/validation/base/id_00_20230516_141401_uvmap_pred.png,id_00,gallery
TAMPAR/validation/base/id_00_20230516_141341.jpg,id_00,gallery
TAMPAR/test/carpet/id_00_20230523_155106.jpg,id_00,gallery
TAMPAR/validation/base/id_00_20230516_141354_uvmap_pred.png,id_00,gallery
TAMPAR/validation/base/id_00_20230512_102313_uvmap_pred.png,id_00,gallery
TAMPAR/validation/base/id_00_20230516_141321_uvmap_pred.png,id_00,gallery
