split,path_a,path_b,label
train,data/TAMPAR/test/carpet/id_01_20230523_155234.jpg,data/TAMPAR/test/carpet/id_01_20230523_155255.jpg,1
train,data/TAMPAR/test/carpet/id_03_20230523_155640.jpg,data/TAMPAR/test/carpet/id_03_20230523_155646.jpg,1
train,data/TAMPAR/test/carpet/id_03_20230523_155640.jpg,data/TAMPAR/test/carpet/id_03_20230523_155707.jpg,1
train,data/TAMPAR/test/carpet/id_03_20230523_155646.jpg,data/TAMPAR/test/carpet/id_03_20230523_155707.jpg,1
train,data/TAMPAR/test/carpet/id_04_20230523_155605.jpg,data/TAMPAR/test/carpet/id_04_20230523_155614.jpg,1
train,data/TAMPAR/test/carpet/id_04_20230523_155605.jpg,data/TAMPAR/test/carpet/id_04_20230523_155617.jpg,1
train,data/TAMPAR/test/carpet/id_04_20230523_155614.jpg,data/TAMPAR/test/carpet/id_04_20230523_155617.jpg,1
train,data/TAMPAR/test/carpet/id_05_20230523_155751.jpg,data/TAMPAR/test/carpet/id_05_20230523_155809.jpg,1
train,data/TAMPAR/test/carpet/id_05_20230523_155751.jpg,data/TAMPAR/test/carpet/id_05_20230523_155814.jpg,1
train,data/TAMPAR/test/carpet/id_05_20230523_155809.jpg,data/TAMPAR/test/carpet/id_05_20230523_155814.jpg,1
train,data/TAMPAR/test/carpet/id_07_20230523_155506.jpg,data/TAMPAR/test/carpet/id_07_20230523_155527.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172730.jpg,data/TAMPAR/test/base/id_10_20230523_172734.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172730.jpg,data/TAMPAR/test/base/id_10_20230523_172737.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172730.jpg,data/TAMPAR/test/base/id_10_20230523_172740.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172730.jpg,data/TAMPAR/test/base/id_10_20230523_172748.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172730.jpg,data/TAMPAR/test/base/id_10_20230523_172754.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172730.jpg,data/TAMPAR/test/base/id_10_20230523_172759.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172730.jpg,data/TAMPAR/test/cubblestone/id_10_20230524_102501.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172730.jpg,data/TAMPAR/test/cubblestone/id_10_20230524_102505.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172730.jpg,data/TAMPAR/test/cubblestone/id_10_20230524_102512.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172730.jpg,data/TAMPAR/test/cubblestone/id_10_20230524_102523.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172730.jpg,data/TAMPAR/test/floor/id_10_20230523_192025.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172730.jpg,data/TAMPAR/test/floor/id_10_20230524_100228.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172730.jpg,data/TAMPAR/test/floor/id_10_20230524_100239.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172730.jpg,data/TAMPAR/test/floor/id_10_20230524_100254.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172730.jpg,data/TAMPAR/test/stairs/id_10_20230524_104508.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172730.jpg,data/TAMPAR/test/stairs/id_10_20230524_104512.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172730.jpg,data/TAMPAR/test/stairs/id_10_20230524_104524.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172730.jpg,data/TAMPAR/test/stairs/id_10_20230524_104528.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172730.jpg,data/TAMPAR/test/table/id_10_20230523_185505.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172730.jpg,data/TAMPAR/test/table/id_10_20230523_185508.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172730.jpg,data/TAMPAR/test/table/id_10_20230523_185512.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172730.jpg,data/TAMPAR/test/table/id_10_20230523_185517.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172734.jpg,data/TAMPAR/test/base/id_10_20230523_172737.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172734.jpg,data/TAMPAR/test/base/id_10_20230523_172740.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172734.jpg,data/TAMPAR/test/base/id_10_20230523_172748.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172734.jpg,data/TAMPAR/test/base/id_10_20230523_172754.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172734.jpg,data/TAMPAR/test/base/id_10_20230523_172759.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172734.jpg,data/TAMPAR/test/cubblestone/id_10_20230524_102501.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172734.jpg,data/TAMPAR/test/cubblestone/id_10_20230524_102505.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172734.jpg,data/TAMPAR/test/cubblestone/id_10_20230524_102512.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172734.jpg,data/TAMPAR/test/cubblestone/id_10_20230524_102523.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172734.jpg,data/TAMPAR/test/floor/id_10_20230523_192025.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172734.jpg,data/TAMPAR/test/floor/id_10_20230524_100228.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172734.jpg,data/TAMPAR/test/floor/id_10_20230524_100239.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172734.jpg,data/TAMPAR/test/floor/id_10_20230524_100254.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172734.jpg,data/TAMPAR/test/stairs/id_10_20230524_104508.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172734.jpg,data/TAMPAR/test/stairs/id_10_20230524_104512.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172734.jpg,data/TAMPAR/test/stairs/id_10_20230524_104524.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172734.jpg,data/TAMPAR/test/stairs/id_10_20230524_104528.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172734.jpg,data/TAMPAR/test/table/id_10_20230523_185505.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172734.jpg,data/TAMPAR/test/table/id_10_20230523_185508.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172734.jpg,data/TAMPAR/test/table/id_10_20230523_185512.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172734.jpg,data/TAMPAR/test/table/id_10_20230523_185517.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172737.jpg,data/TAMPAR/test/base/id_10_20230523_172740.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172737.jpg,data/TAMPAR/test/base/id_10_20230523_172748.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172737.jpg,data/TAMPAR/test/base/id_10_20230523_172754.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172737.jpg,data/TAMPAR/test/base/id_10_20230523_172759.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172737.jpg,data/TAMPAR/test/cubblestone/id_10_20230524_102501.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172737.jpg,data/TAMPAR/test/cubblestone/id_10_20230524_102505.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172737.jpg,data/TAMPAR/test/cubblestone/id_10_20230524_102512.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172737.jpg,data/TAMPAR/test/cubblestone/id_10_20230524_102523.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172737.jpg,data/TAMPAR/test/floor/id_10_20230523_192025.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172737.jpg,data/TAMPAR/test/floor/id_10_20230524_100228.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172737.jpg,data/TAMPAR/test/floor/id_10_20230524_100239.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172737.jpg,data/TAMPAR/test/floor/id_10_20230524_100254.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172737.jpg,data/TAMPAR/test/stairs/id_10_20230524_104508.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172737.jpg,data/TAMPAR/test/stairs/id_10_20230524_104512.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172737.jpg,data/TAMPAR/test/stairs/id_10_20230524_104524.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172737.jpg,data/TAMPAR/test/stairs/id_10_20230524_104528.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172737.jpg,data/TAMPAR/test/table/id_10_20230523_185505.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172737.jpg,data/TAMPAR/test/table/id_10_20230523_185508.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172737.jpg,data/TAMPAR/test/table/id_10_20230523_185512.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172737.jpg,data/TAMPAR/test/table/id_10_20230523_185517.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172740.jpg,data/TAMPAR/test/base/id_10_20230523_172748.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172740.jpg,data/TAMPAR/test/base/id_10_20230523_172754.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172740.jpg,data/TAMPAR/test/base/id_10_20230523_172759.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172740.jpg,data/TAMPAR/test/cubblestone/id_10_20230524_102501.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172740.jpg,data/TAMPAR/test/cubblestone/id_10_20230524_102505.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172740.jpg,data/TAMPAR/test/cubblestone/id_10_20230524_102512.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172740.jpg,data/TAMPAR/test/cubblestone/id_10_20230524_102523.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172740.jpg,data/TAMPAR/test/floor/id_10_20230523_192025.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172740.jpg,data/TAMPAR/test/floor/id_10_20230524_100228.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172740.jpg,data/TAMPAR/test/floor/id_10_20230524_100239.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172740.jpg,data/TAMPAR/test/floor/id_10_20230524_100254.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172740.jpg,data/TAMPAR/test/stairs/id_10_20230524_104508.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172740.jpg,data/TAMPAR/test/stairs/id_10_20230524_104512.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172740.jpg,data/TAMPAR/test/stairs/id_10_20230524_104524.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172740.jpg,data/TAMPAR/test/stairs/id_10_20230524_104528.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172740.jpg,data/TAMPAR/test/table/id_10_20230523_185505.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172740.jpg,data/TAMPAR/test/table/id_10_20230523_185508.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172740.jpg,data/TAMPAR/test/table/id_10_20230523_185512.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172740.jpg,data/TAMPAR/test/table/id_10_20230523_185517.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172748.jpg,data/TAMPAR/test/base/id_10_20230523_172754.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172748.jpg,data/TAMPAR/test/base/id_10_20230523_172759.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172748.jpg,data/TAMPAR/test/cubblestone/id_10_20230524_102501.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172748.jpg,data/TAMPAR/test/cubblestone/id_10_20230524_102505.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172748.jpg,data/TAMPAR/test/cubblestone/id_10_20230524_102512.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172748.jpg,data/TAMPAR/test/cubblestone/id_10_20230524_102523.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172748.jpg,data/TAMPAR/test/floor/id_10_20230523_192025.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172748.jpg,data/TAMPAR/test/floor/id_10_20230524_100228.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172748.jpg,data/TAMPAR/test/floor/id_10_20230524_100239.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172748.jpg,data/TAMPAR/test/floor/id_10_20230524_100254.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172748.jpg,data/TAMPAR/test/stairs/id_10_20230524_104508.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172748.jpg,data/TAMPAR/test/stairs/id_10_20230524_104512.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172748.jpg,data/TAMPAR/test/stairs/id_10_20230524_104524.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172748.jpg,data/TAMPAR/test/stairs/id_10_20230524_104528.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172748.jpg,data/TAMPAR/test/table/id_10_20230523_185505.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172748.jpg,data/TAMPAR/test/table/id_10_20230523_185508.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172748.jpg,data/TAMPAR/test/table/id_10_20230523_185512.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172748.jpg,data/TAMPAR/test/table/id_10_20230523_185517.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172754.jpg,data/TAMPAR/test/base/id_10_20230523_172759.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172754.jpg,data/TAMPAR/test/cubblestone/id_10_20230524_102501.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172754.jpg,data/TAMPAR/test/cubblestone/id_10_20230524_102505.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172754.jpg,data/TAMPAR/test/cubblestone/id_10_20230524_102512.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172754.jpg,data/TAMPAR/test/cubblestone/id_10_20230524_102523.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172754.jpg,data/TAMPAR/test/floor/id_10_20230523_192025.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172754.jpg,data/TAMPAR/test/floor/id_10_20230524_100228.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172754.jpg,data/TAMPAR/test/floor/id_10_20230524_100239.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172754.jpg,data/TAMPAR/test/floor/id_10_20230524_100254.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172754.jpg,data/TAMPAR/test/stairs/id_10_20230524_104508.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172754.jpg,data/TAMPAR/test/stairs/id_10_20230524_104512.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172754.jpg,data/TAMPAR/test/stairs/id_10_20230524_104524.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172754.jpg,data/TAMPAR/test/stairs/id_10_20230524_104528.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172754.jpg,data/TAMPAR/test/table/id_10_20230523_185505.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172754.jpg,data/TAMPAR/test/table/id_10_20230523_185508.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172754.jpg,data/TAMPAR/test/table/id_10_20230523_185512.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172754.jpg,data/TAMPAR/test/table/id_10_20230523_185517.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172759.jpg,data/TAMPAR/test/cubblestone/id_10_20230524_102501.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172759.jpg,data/TAMPAR/test/cubblestone/id_10_20230524_102505.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172759.jpg,data/TAMPAR/test/cubblestone/id_10_20230524_102512.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172759.jpg,data/TAMPAR/test/cubblestone/id_10_20230524_102523.jpg,1
train,data/TAMPAR/test/base/id_10_20230523_172759.jpg,data/TAMPAR/test/floor/id_10_20230523_192025.jpg,1
