split,path_anchor,positive_path,negative_path
train,data/TAMPAR/id_00_20230512_102251.jpg,data/TAMPAR/id_00_20230512_102302.jpg,data/TAMPAR/id_27_20230524_102346.jpg
train,data/TAMPAR/id_00_20230512_102251.jpg,data/TAMPAR/id_00_20230512_102313.jpg,data/TAMPAR/id_14_20230524_102008.jpg
train,data/TAMPAR/id_00_20230512_102251.jpg,data/TAMPAR/id_00_20230512_102318.jpg,data/TAMPAR/id_11_20230524_101027.jpg
train,data/TAMPAR/id_00_20230512_102251.jpg,data/TAMPAR/id_00_20230512_102328.jpg,data/TAMPAR/id_18_20230524_104609.jpg
train,data/TAMPAR/id_00_20230512_102251.jpg,data/TAMPAR/id_00_20230512_102342.jpg,data/TAMPAR/id_27_20230524_100039.jpg
train,data/TAMPAR/id_00_20230512_102251.jpg,data/TAMPAR/id_00_20230512_102353.jpg,data/TAMPAR/id_15_20230524_101855.jpg
train,data/TAMPAR/id_00_20230512_102251.jpg,data/TAMPAR/id_00_20230512_102406.jpg,data/TAMPAR/id_12_20230524_103630.jpg
train,data/TAMPAR/id_00_20230512_102251.jpg,data/TAMPAR/id_00_20230512_102417.jpg,data/TAMPAR/id_05_20230523_141414.jpg
train,data/TAMPAR/id_00_20230512_102251.jpg,data/TAMPAR/id_00_20230512_102428.jpg,data/TAMPAR/id_03_20230523_160657.jpg
train,data/TAMPAR/id_00_20230512_102251.jpg,data/TAMPAR/id_00_20230516_141303.jpg,data/TAMPAR/id_05_20230523_155822.jpg
train,data/TAMPAR/id_00_20230512_102251.jpg,data/TAMPAR/id_00_20230516_141309.jpg,data/TAMPAR/id_25_20230523_185657.jpg
train,data/TAMPAR/id_00_20230512_102251.jpg,data/TAMPAR/id_00_20230516_141314.jpg,data/TAMPAR/id_04_20230523_155553.jpg
train,data/TAMPAR/id_00_20230512_102251.jpg,data/TAMPAR/id_00_20230516_141321.jpg,data/TAMPAR/id_01_20230523_162456.jpg
train,data/TAMPAR/id_00_20230512_102251.jpg,data/TAMPAR/id_00_20230516_141332.jpg,data/TAMPAR/id_12_20230524_102103.jpg
train,data/TAMPAR/id_00_20230512_102251.jpg,data/TAMPAR/id_00_20230516_141341.jpg,data/TAMPAR/id_12_20230524_102103.jpg
train,data/TAMPAR/id_00_20230512_102251.jpg,data/TAMPAR/id_00_20230516_141354.jpg,data/TAMPAR/id_07_20230523_160822.jpg
train,data/TAMPAR/id_00_20230512_102251.jpg,data/TAMPAR/id_00_20230516_141401.jpg,data/TAMPAR/id_16_20230524_100635.jpg
train,data/TAMPAR/id_00_20230512_102251.jpg,data/TAMPAR/id_00_20230516_141419.jpg,data/TAMPAR/id_12_20230524_095725.jpg
train,data/TAMPAR/id_00_20230512_102251.jpg,data/TAMPAR/id_00_20230523_155059.jpg,data/TAMPAR/id_27_20230523_190655.jpg
train,data/TAMPAR/id_00_20230512_102251.jpg,data/TAMPAR/id_00_20230523_155106.jpg,data/TAMPAR/id_20_20230523_172356.jpg
train,data/TAMPAR/id_00_20230512_102251.jpg,data/TAMPAR/id_00_20230523_155111.jpg,data/TAMPAR/id_01_20230523_160434.jpg
train,data/TAMPAR/id_00_20230512_102251.jpg,data/TAMPAR/id_00_20230523_155115.jpg,data/TAMPAR/id_20_20230524_105135.jpg
train,data/TAMPAR/id_00_20230512_102251.jpg,data/TAMPAR/id_00_20230523_155122.jpg,data/TAMPAR/id_26_20230524_101106.jpg
train,data/TAMPAR/id_00_20230512_102251.jpg,data/TAMPAR/id_00_20230523_155133.jpg,data/TAMPAR/id_14_20230523_172505.jpg
train,data/TAMPAR/id_00_20230512_102251.jpg,data/TAMPAR/id_00_20230523_160510.jpg,data/TAMPAR/id_03_20230523_162901.jpg
train,data/TAMPAR/id_00_20230512_102251.jpg,data/TAMPAR/id_00_20230523_160514.jpg,data/TAMPAR/id_18_20230524_095910.jpg
train,data/TAMPAR/id_00_20230512_102251.jpg,data/TAMPAR/id_00_20230523_160518.jpg,data/TAMPAR/id_13_20230523_191733.jpg
train,data/TAMPAR/id_00_20230512_102251.jpg,data/TAMPAR/id_00_20230523_160526.jpg,data/TAMPAR/id_11_20230524_104439.jpg
train,data/TAMPAR/id_00_20230512_102251.jpg,data/TAMPAR/id_00_20230523_160533.jpg,data/TAMPAR/id_12_20230523_171555.jpg
train,data/TAMPAR/id_00_20230512_102251.jpg,data/TAMPAR/id_00_20230523_160538.jpg,data/TAMPAR/id_04_20230523_141218.jpg
train,data/TAMPAR/id_00_20230512_102251.jpg,data/TAMPAR/id_00_20230523_160543.jpg,data/TAMPAR/id_29_20230523_185219.jpg
train,data/TAMPAR/id_00_20230512_102251.jpg,data/TAMPAR/id_00_20230523_160547.jpg,data/TAMPAR/id_27_20230524_100022.jpg
train,data/TAMPAR/id_00_20230512_102251.jpg,data/TAMPAR/id_00_20230523_162354.jpg,data/TAMPAR/id_02_20230523_155200.jpg
train,data/TAMPAR/id_00_20230512_102251.jpg,data/TAMPAR/id_00_20230523_162359.jpg,data/TAMPAR/id_28_20230524_105027.jpg
train,data/TAMPAR/id_00_20230512_102251.jpg,data/TAMPAR/id_00_20230523_162403.jpg,data/TAMPAR/id_21_20230524_102553.jpg
train,data/TAMPAR/id_00_20230512_102251.jpg,data/TAMPAR/id_00_20230523_162408.jpg,data/TAMPAR/id_15_20230523_185449.jpg
train,data/TAMPAR/id_00_20230512_102251.jpg,data/TAMPAR/id_00_20230523_162414.jpg,data/TAMPAR/id_15_20230524_095932.jpg
train,data/TAMPAR/id_00_20230512_102251.jpg,data/TAMPAR/id_00_20230523_162419.jpg,data/TAMPAR/id_05_20230523_141408.jpg
train,data/TAMPAR/id_00_20230512_102251.jpg,data/TAMPAR/id_00_20230523_162423.jpg,data/TAMPAR/id_09_20230523_160846.jpg
train,data/TAMPAR/id_00_20230512_102302.jpg,data/TAMPAR/id_00_20230512_102313.jpg,data/TAMPAR/id_04_20230523_160734.jpg
train,data/TAMPAR/id_00_20230512_102302.jpg,data/TAMPAR/id_00_20230512_102318.jpg,data/TAMPAR/id_11_20230523_191357.jpg
train,data/TAMPAR/id_00_20230512_102302.jpg,data/TAMPAR/id_00_20230512_102328.jpg,data/TAMPAR/id_20_20230523_172411.jpg
train,data/TAMPAR/id_00_20230512_102302.jpg,data/TAMPAR/id_00_20230512_102342.jpg,data/TAMPAR/id_05_20230523_162240.jpg
train,data/TAMPAR/id_00_20230512_102302.jpg,data/TAMPAR/id_00_20230512_102353.jpg,data/TAMPAR/id_12_20230523_191117.jpg
train,data/TAMPAR/id_00_20230512_102302.jpg,data/TAMPAR/id_00_20230512_102406.jpg,data/TAMPAR/id_26_20230524_102912.jpg
train,data/TAMPAR/id_00_20230512_102302.jpg,data/TAMPAR/id_00_20230512_102417.jpg,data/TAMPAR/id_15_20230523_171934.jpg
train,data/TAMPAR/id_00_20230512_102302.jpg,data/TAMPAR/id_00_20230512_102428.jpg,data/TAMPAR/id_04_20230523_155551.jpg
train,data/TAMPAR/id_00_20230512_102302.jpg,data/TAMPAR/id_00_20230516_141303.jpg,data/TAMPAR/id_10_20230524_100232.jpg
train,data/TAMPAR/id_00_20230512_102302.jpg,data/TAMPAR/id_00_20230516_141309.jpg,data/TAMPAR/id_26_20230523_185025.jpg
train,data/TAMPAR/id_00_20230512_102302.jpg,data/TAMPAR/id_00_20230516_141314.jpg,data/TAMPAR/id_21_20230524_100812.jpg
train,data/TAMPAR/id_00_20230512_102302.jpg,data/TAMPAR/id_00_20230516_141321.jpg,data/TAMPAR/id_03_20230523_160646.jpg
train,data/TAMPAR/id_00_20230512_102302.jpg,data/TAMPAR/id_00_20230516_141332.jpg,data/TAMPAR/id_26_20230523_191248.jpg
train,data/TAMPAR/id_00_20230512_102302.jpg,data/TAMPAR/id_00_20230516_141341.jpg,data/TAMPAR/id_16_20230524_101633.jpg
train,data/TAMPAR/id_00_20230512_102302.jpg,data/TAMPAR/id_00_20230516_141354.jpg,data/TAMPAR/id_10_20230524_102515.jpg
train,data/TAMPAR/id_00_20230512_102302.jpg,data/TAMPAR/id_00_20230516_141401.jpg,data/TAMPAR/id_04_20230523_155614.jpg
train,data/TAMPAR/id_00_20230512_102302.jpg,data/TAMPAR/id_00_20230516_141419.jpg,data/TAMPAR/id_27_20230524_102350.jpg
train,data/TAMPAR/id_00_20230512_102302.jpg,data/TAMPAR/id_00_20230523_155059.jpg,data/TAMPAR/id_21_20230524_100756.jpg
train,data/TAMPAR/id_00_20230512_102302.jpg,data/TAMPAR/id_00_20230523_155106.jpg,data/TAMPAR/id_24_20230523_171641.jpg
