image_path,label,split,ocr_text,ocr_confidence
data/drive/id_100_20251105_165626.jpg,id_100,gallery,4 T 3 1 li 8 ~norot L,0.3746761072470927
data/drive/id_100_20251105_165619.jpg,id_100,gallery,8 1 Fi 1 1 1 1 1 1 8 W | 8 J F VS2 1 asodouojp,0.4112708201784173
data/drive/id_100_20251105_165650.jpg,id_100,gallery,Tat V32,0.2557144297445072
data/drive/id_100_20251105_165654.jpg,id_100,gallery,4 7 0 Soronopass #aEos-O4z0-CFrO 8 J4t30 24E 162016 1SL 3,0.3353813964311143
data/drive/id_100_20251105_165633.jpg,id_100,gallery,V-SRenepass SA 82s1 T9ca 13s FR-EFR-04z0-CFROE 08A1S-FR-14320 1 001 Z07 W17e3ege 9661 33462010 2 Ca 32 56206-psdpo 430,0.331717360756155
data/drive/id_100_20251105_165639.jpg,id_100,query,0 4H13-0J imX Crtvg ssndouojyj-^,0.3411735864194049
data/drive/id_100_20251105_165644.jpg,id_100,query,0 Ocvu Miij 4 | Vm/| Ou4u {cltt ssd0u0414a-N an V,0.1600672127451626
data/drive/id_100_20251105_165608.jpg,id_100,query,n ) ' 2 7 3 [ T = i 1  2  [ =,0.14895971898009802
data/drive/id_100_20251105_165600.jpg,id_100,query,,0.0
data/drive/id_100_20251105_165659.jpg,id_100,query,0 7 4 ssndovolyj-^,0.36140135581343563
data/drive/id_101_IMG_4762.jpg,id_101,gallery,i 3,0.014843564982090829
data/drive/id_101_IMG_4765.jpg,id_101,gallery,,0.0
data/drive/id_101_IMG_5523.jpg,id_101,gallery,1 ,0.0865977674604057
data/drive/id_101_IMG_5526.jpg,id_101,gallery,( 4,0.023269817959886696
data/drive/id_101_IMG_5527.jpg,id_101,gallery,A ( (,0.03542622876985838
data/drive/id_101_IMG_5522.jpg,id_101,query,1,0.47072724776109354
data/drive/id_101_IMG_4764.jpg,id_101,query,E 2e 76 ~,0.10703518032742063
data/drive/id_101_IMG_4775.jpg,id_101,query,,0.0
data/drive/id_101_IMG_5525.jpg,id_101,query, Fa O,0.012466128382280688
data/drive/id_101_IMG_4774.jpg,id_101,query,1 U,0.07290690705689828
data/drive/id_101_IMG_5521.jpg,id_101,query,Teaunte ,5.6935142301505204e-05
data/drive/id_102_IMG_4779.jpg,id_102,gallery,"( ~ 1  '1 3 0 7 "" Sen Le """,0.08171579219730257
data/drive/id_102_IMG_4782.jpg,id_102,query,"AF ' Tre ~ 1 5 Aon 0 "" "" 1",0.22833283249064096
data/drive/id_102_IMG_4781.jpg,id_102,query,3 2 n,0.007897117031376966
data/drive/id_103_IMG_20251017_144938.jpg,id_103,gallery,LI 1 3 0 0 36 1 0 1 3 1,0.480166400227691
data/drive/id_103_IMG_20251017_145037.jpg,id_103,gallery,"@ 3e 6 Ud 0 K 6 84 aid 3 3 O5 2 0 umd vdnltos donaullouin Au Mourica Mallal soadiinne enarelee OPp ruu Solm AAE buu noo 4u Emullol ,uelel Elege FR 24 4i4 4Xu b30 UPD Frune"" em 'aouiundno,a7apu {30 Rcb NANTERRE UmJuu 1 8 1 1 2ise 9 3 Z 3 1 1 J I MV= aneiel 0utou TVA",0.29004983192097217
data/drive/id_103_IMG_20251017_145010.jpg,id_103,gallery,"0 4 4 5 3 1 3e # 2 2 # 2 0 9 2 ""e} 28 2 7 Eur 20 Joeid Tue 144 420 de Vaner DPD FA 24 Tua conditiont du Eupuai Ean 18 600 000 44 AZu E30 Rce 0 EUL DPo Tr Ct Wouling 4 8) EcOLE 3 E 1 2 1 1 0 1 1 I [ { 2 2 1 1 2 I 1 1 1 2 4 3 ~CpuJr Mallel Dr Maunee conaullebled 6ia9= generelen oelel AAATERRE 6ur0r 1 boumit 0ax Enee 1 02130 8 72601079720333 4 11C0972 LAcHiVER Maplel Haroricourt FratcE [ =~",0.3835992129453972
data/drive/id_103_IMG_20251017_144929.jpg,id_103,gallery,"Chantereine 1 T : Ueu mrai 0: 0 0 771474M;0 Uati ( Iracel LAchiver^ Ii P ECOLe MAACEL Prx Toth L3 311 Prix Liqu Romlec  (hT ; 1 4 # 78 04J4 14 RUE CHANTEAEINE IU 20 Commando ' T 1 8 Totol F_ 78250 39 TVA 1 HardRICOURT Ba3o HT 8 7792 ' 03.010.39.17,07 70 08 8 Tol 30 % Mlu 2 LDE HT rue de Kvolo Total TVA 67150 Erstomn MD TTC 1 Aq 03/40/2026 H Total 8 DPD EXP 7374776/360475 3 FR colis Lnen AARDRICOURT Romieo Publlc 8 Igemont; 1 L0ei Total 8 03/10 11c0972 30/09/2025 Ticu97? 1143546",0.5312973887942359
data/drive/id_103_IMG_20251017_144922.jpg,id_103,gallery,"Sn MEacouRT WCME 3 31 7046032 C F-78250 78 CalEAD_ {5 Tealt [ooi4 EDZHEAEE Toal DPD 11c0972 3tc2 03/10 3 Cn 1144, M 76542 Ek arees MAcHIER FR 14 Tce Ctz teteine KARDREOUAT 1245600224 3 4 FR1143546C TTC T1e2= 5829 Tec0 RELE 1 1 1",0.38078783748429607
data/drive/id_103_IMG_4802.jpg,id_103,gallery,,0.0
data/drive/id_103_IMG_20251017_145033.jpg,id_103,gallery,1 1 { 1 1 72009972 93 OL/80 37 ded Ceas  '#a et],0.3650352362298102
data/drive/id_103_IMG_20251017_145037(1).jpg,id_103,gallery,"@ 3e 6 Ud 0 K 6 84 aid 3 3 O5 2 0 umd vdnltos donaullouin Au Mourica Mallal soadiinne enarelee OPp ruu Solm AAE buu noo 4u Emullol ,uelel Elege FR 24 4i4 4Xu b30 UPD Frune"" em 'aouiundno,a7apu {30 Rcb NANTERRE UmJuu 1 8 1 1 2ise 9 3 Z 3 1 1 J I MV= aneiel 0utou TVA",0.29004983192097217
data/drive/id_103_IMG_20251017_145010(1).jpg,id_103,gallery,"0 4 4 5 3 1 3e # 2 2 # 2 0 9 2 ""e} 28 2 7 Eur 20 Joeid Tue 144 420 de Vaner DPD FA 24 Tua conditiont du Eupuai Ean 18 600 000 44 AZu E30 Rce 0 EUL DPo Tr Ct Wouling 4 8) EcOLE 3 E 1 2 1 1 0 1 1 I [ { 2 2 1 1 2 I 1 1 1 2 4 3 ~CpuJr Mallel Dr Maunee conaullebled 6ia9= generelen oelel AAATERRE 6ur0r 1 boumit 0ax Enee 1 02130 8 72601079720333 4 11C0972 LAcHiVER Maplel Haroricourt FratcE [ =~",0.3835992129453972
data/drive/id_103_IMG_4801.jpg,id_103,gallery,  | 1   2 'E0  L 1,0.0946417197121952
